ID,Name,Address,Major,Degree,GPA,Semester,Y,Status
165,A. Silver,Seattle,Elementary Ed,MS,3.3,Sum2,1985,Out of state
418,T. Brown,Denver,Applied Sc,PhD,4.0,F,1992,Out of state
419,T. Red,Seattle,Information Sc,BS,2.1,F,1992,Out of state
215,K. King,Conway,Elementary Ed,EdD,3.2,Sum2,1984,Non-of-the above
315,M. Gola,Conway,English,MS,3.2,S,1984,Non-of-the above
255,K. Dool,Atlanta,English,MS,3.9,Sum1,1986,Non-of-the above
299,M. Golab,Seattle,Chemistry,BS,3.0,S,1992,Non-of-the above
199,K. Duell,Atlanta,Biology,AS,4.0,F,1988,International Student
473,M. Browny,Seattle,Computer Sc,PhD,4.0,S,1992,International Student
407,T. Doolak,Seattle,Business Admin,MBA,3.1,Sum1,1992,Out of state
205,K. Minges,Conway,Elementary Ed,EdD,3.2,Sum2,1984,Non-of-the above
305,H. Molar,Conway,Biology,MS,3.2,Sum1,1984,Non-of-the above
207,K. Goolar,Atlanta,Chemistry,MS,3.9,Sum1,1986,Non-of-the above
107,M. Kochaal,Savannah,Chemistry,BS,3.9,S,1992,Non-of-the above
305,M. Searsy,Conway,Biology,MS,3.2,Sum1,1984,Non-of-the above
207,P. Little,Atlanta,Chemistry,MS,3.9,Sum1,1986,Non-of-the above
107,M. Big,Little Rock,Chemistry,BS,3.9,S,1992,Out of state
109,P. Board,Atlanta,Chemistry,AS,4.0,F,1988,International Student
305,M. Korp,Conway,Biology,MS,3.2,Sum1,1984,Non-of-the above
109,G. Bear,Little Rock,Biology,AS,4.0,F,1988,Out of state
591,Z. Kochaal,Savannah,Chemistry,BS,3.9,S,1992,Non-of-the above
391,X. Searsy,Conway,Biology,MS,3.2,Sum1,1984,Non-of-the above
201,Y. Little,Atlanta,Chemistry,MS,3.9,Sum1,1986,Non-of-the above
117,W. Big,Little Rock,Chemistry,BS,3.9,S,1992,Out of state
612,V. Board,Atlanta,Chemistry,AS,4.0,F,1988,International Student
305,M. Kartsoo,Conway,Biology,MS,3.2,Sum1,1984,Non-of-the above
609,N. Gearsal,Little Rock,Biology,BS,4.0,F,1988,Out of state
615,K. Jiring,Conway,Elementary Ed,BA,3.2,Sum2,1984,Non-of-the above
715,M. Chendo,Conway,Secondary Ed,MS,3.2,S,1984,Non-of-the above
855,Z. Megart,Atlanta,Secondary Ed,MS,3.9,Sum1,1986,Non-of-the above
699,A. Woo,Seattle,Elementary Ed,BA,3.0,S,1992,Non-of-the above
933,CC. Artian,Atlanta,English,BA,2.9,Sum2,1991,Non-of-the above
941,D. Merdoo,Atlanta,English,MA,2.8,Sum2,1991,Non-of-the above
